विच्छेद,वि+छेद
नमस्कर्त्ता,नमः+कर्त्ता
आविष्कृतम्,आविः+कृतम्
तिरस्करोति,तिरः+करोति
द्विष्करोति,द्विः+करोति
सर्पिष्करोति,सर्पिः+करोति
धनुष्फलम्,धनुः+फलम्
अयस्कारः,अयः+कारः
अधस्पदम्,अधस्+पदम्
अयस्पात्रम्,अयः+पात्रम्
पयस्करति,पयः+करति
महस्परि,महः+परि
दिवस्पातु,दिवः+पातु
तमसस्पारम्,तमसः+पारम्
इडायास्पतिः,इडायाः+पतिः
अङ्गुलिषङ्ग,अङ्गुलि+सङ्ग
भीरुष्ठानम्,भीरु+स्थानम्
अग्निष्टुत्,अग्नि+स्तुत्
आयुष्टोमः,आयु+स्तोमः
मातृष्वसा,मातृ+स्वसा
मातुःष्वसा,मातुर्+स्वसा
युधिष्ठिरः,युधि+स्थिरः
अग्निष्ठः,अग्नि+स्थः
सुषाम,सु+साम
सर्पिष्टरम्,सर्पिस्+तरम्
अग्निष्टे,अग्निस्+ते
गोष्टोमम्,गो+स्तोमम्
मधुष्ठानम्,मधु+स्थानम्
शूर्पणखा,शूर्प+नखा
शारिकावणम्,शारिका+वनम्
शरवणम्,शर+वनम्
बदरीवणम्,बदरी+वनम्
पूर्वाहणः,पूर्व+अहनः
इक्षुवाहणम्,इक्षु+वाहनम्
कषायपाणः,कषाय+पानः
सुरापाणम्,सुरा+पानम्
स्वर्गकामिणौ,स्वर्ग+कामिनौ
अन्तर्हण्यते,अन्तर्+हन्यते
अन्तरयणम्,अन्तर्+अयनम्
वृक्षश्शेते,वृक्षस्+शेते
अग्निचिच्छेते,अग्निचित्+शेते
सच्चित्,सत्+चित्
कश्चित्,कस्+चित्
वृक्षष्टीकते,वृक्षस्+टीकते
वृक्षष्षण्डे,वृक्षस्+षण्डे
तट्टीका,तत्+टीका
षण्णाम्,षट्+नाम्
वाग्नयति,वाक्+नयति
वाङ्नयति,वाक्+नयति
वाङ्मयम्,वाक्+मयम्
दद्ध्यत्र,दध्य्+अत्र
युयुत्सते,युयुध्+सते
त्वङ्करोषि,त्वं+करोषि
तल्लीनः,तत्+लीनः
विद्वाँल्लिखति,विद्वान्+लिखति
वाग्घरिः,वाग्+हरिः
तच्छिवः,तत्+शिवः
तच्शिवः,तत्+शिवः
मञ्जूषेति,मञ्जूषा+इति
कटाक्षयन्नाह,कटाक्षयन्+आह
ज्ञानेऽपि,ज्ञाने+अपि
स्वीकार्येत्यभिप्रायवानाह,स्वीकार्य+इति+अभिप्रायवान्+आह
चेति,च+इति
तयोर्लक्षणायामन्तर्भावसम्भवादिति,तयोः+लक्षणायाम्+अन्तः+भाव+सम्भवात्+इति
समवायेनाकाशोपस्थितिसम्भवाद्,समवायेन+आकाश+उपस्थिति+सम्भवाद्
वृत्त्येति,वृत्त्या+इति
एतच्च,एतत्+च
समवायादिनाऽऽकाशआद्युपस्थितिर्न,समवाय+आदिना+आकाश+आदि+उपस्थितिः+न
लक्षणाऽनधीनत्वादिति,लक्षणा+अनधीनत्वात्+इति
तामादायार्थव्यवहारवारणाय,ताम्+आदाय+अर्थ+व्यवहार+वारणाय
वाऽन्वयि,वा+अन्वयि
लक्ष्यस्यार्थत्वव्यवहारानुरोधेन,लक्ष्यस्य+अर्थत्व+व्यवहार+अनुरोधेन
शक्त्येति,शक्त्या+इति
नोक्तम्,न+उक्तम्
स्यादतः,स्यात्+अतः
सर्वदाऽसत्त्वेऽपि,सर्वदा+असत्त्वे+अपि
व्यवहारानुपपत्तिरस्त्येवेति,व्यवहार+अनुपपत्तिः+अस्ति+एव+इति
तादृशप्रतिपत्तेर्लक्षणाऽधीनार्थव्यवहारे,तादृश+प्रतिपत्तेः+लक्षणा+अधीन+अर्थ+व्यवहारे
वस्तुतस्तु,वस्तुतः+तु
व्याप्यवृत्तितयेदानीमित्यस्यानन्वयाद्,व्याप्य+वृत्तितया+इदानीम्+इति+अस्य+अनन्वयाद्
इत्यपीष्यत,इत्यपि+इष्यत
तात्पर्यवन्न,तात्पर्यवत्+न
वृत्तित्वमिति,वृत्तित्वम्+इति
विभजते+तत्रेति,विभजते+तत्र+इति
पारिभाषिकमिति,पारिभाषिकम्+इति
अर्थस्तु,अर्थः+तु
लक्ष्यपरिभाषितयोर्व्यवच्छेदार्थः,लक्ष्य+परिभाषितयोः+व्यवच्छेद+अर्थः
वाच्यत्वव्यवहारापत्तिरर्थस्य,वाच्यत्व+व्यवहार+आपत्तिः+अर्थस्य
चेश्वरेच्छया,च+ईश्वर+इच्छया
सैव,सा+एव
कर्तृत्वमिति,कर्तृत्वम्+इति
तिङमभिप्रेत्यः,तिङम्+अभिप्रेत्यः
पदमिति,पदम्+इति
धात्वर्थीभूतेति,धात्वर्थी+भूता+इति
फलस्यैवात्मनेपदाद्यर्थत्वात्,फलस्य+एव+आत्मनेपद+आदि+अर्थत्वात्
पातित्वंतदाश्रयजनकत्वे,पातित्वम्+तत्+आश्रय+जनकत्वे
गौरिति,गौः+इति
वैपरीत्यमिति,वैपरीत्यम्+इति
सैव,सा+एव
गौरुच्यत,गौः+उच्यत
गौरिति,गौः+इति
वक्तीत्यादौ,वक्ति+इति+आदौ
निरूक्तधात्वर्थेस्य,निरूक्त+धातु+अर्थे+अस्य
कर्तृत्वमाख्यातादिना,कर्तृत्वम्+आख्यात+आदिना
तच्च,तत्+च
पदमिति,पदम्+इति
चेति,च+इति
साधूनेव,साधून्+एव
नासाधूनिति,न+असाधून्+इति
निषेधानुपपत्तिरिति,निषेध+अनुपपत्तिः+इति
एवमिति,एवम्+इति
तादृशेच्छयेति,तादृश+इच्छया+इति
तत्तदर्थविषयकबोधजनकत्वप्रकारकत्वावच्छिन्नेच्छावृत्तिजनकताकभगवदुच्चारणजन्यत्वमर्थः,तत्+तत्+अर्थ+विषयक+बोध+जनकत्व+प्रकारकत्व+अवच्छिन्न+इच्छा+आवृत्ति+जनक+ताक+भगवत्+उच्चारण+जन्यत्वम्+अर्थः
चार्थे,च+अर्थे
प्रकृतिगुणकणेनाप्यसंसृष्टरूपे,प्रकृति+गुण+कणेन+अपि+असंसृष्टरूपे
निरवधिरमलप्रीतिरस्माकमास्ताम्,निरवधिः+अमल+प्रीतिः+अस्माकम्+आस्ताम्
शालिग्रामात्प्रकटिततनुर्भक्तजीवातपरूपः,शालिग्रामात्+प्रकटि+ततनुः+भक्त+जीव+अतप+रूपः
श्रीमद्राधारमणवपुषाऽऽश्वास्य,श्रीमत्+राधा+रमण+वपुषा+आश्वास्य
प्रणमाम्यहम्,प्रणमामि+अहम्
किलोच्चावचचराचराञ्चनचुञ्चौ,किल+उच्चावच+चराचर+अञ्चन+चुञ्चौ
प्रपञ्चेऽवान्तरविभागप्रविभागभिन्नानन्तपदार्थसङ्कुलेऽपि,प्रपञ्चे+अव+अन्तर+विभाग+प्रविभाग+भिन्न+अनन्त+पद+अर्थ+सङ्कुले+अपि
मेयसिद्धिर्मानसिद्धिश्च,मेय+सिद्धिः+मान+सिद्धिः+च
लक्षणादिति,लक्षणात्+इति
विद्वद्वरकृष्णभट्टकृतया,विद्वत्+वर+कृष्ण+भट्टकृतया
विनोदिनीकृतैव,विनोदिनी+कृता+एव
प्रथितैरभीष्टम्,प्रथितैः+अभीष्टम्
श्रीमाधवस्तार्किकः,श्रीमाधवः+तार्किकः
चैतद्विभजनमनुपपन्नम्,च+एतत्+विभजनम्+अनुपपन्नम्
ममापि,मम+अपि
तत्रैव,तत्र+एव
भवानित्यादौ,भवान्+इति+आदौ
भविष्यतीत्यादिबोधस्यानुभवसिद्धस्यानुपपत्तिरिति,भविष्यति+इति+आदि+बोधस्य+अनुभव+सिद्धस्य+अनुपपत्तिः+इति
तज्ज्ञानजन्यपदार्थोपस्थितेर्हेतुतया,तत्+ज्ञान+जन्य+पदार्थ+उपस्थितेः+हेतुतया
दुःखनिवृत्तिर्मुक्तिरित्याचार्याः,दुःख+निवृत्तिः+मुक्तिः+इति+आचार्याः
वाक्यार्थः,वाक्य+अर्थः
तत्राव्याप्तिवारणाय,तत्र+अव्याप्ति+वारणाय
स्वसमानाधिकरणेति,स्व+समान+अधिकरण+इति
इदानीन्तनदुःखध्वंसेस्तिव्याप्तिवारणाय,इदानीम्+तन+दुःख+ध्वंसे+अतिव्याप्ति+वारणाय
दुःखप्रागभावासमानकालीनेति,दुःख+प्राग+भाव+असमान+कालीन+इति
दुःखासमानकालीनत्वविशेषणोपादानेनैव,दुःख+असमान+कालीनत्व+विशेषण+उपादानेन+एव
तत्रातिव्याप्तिवारणसंभवे,तत्र+अतिव्याप्ति+वारण+संभवे
प्रागभावविशेषणेनेति,प्राग+भाव+विशेषणेन+इति
वैय्यर्थ्याभावात्,वैय्यर्थ्य+अभावात्
देवदेवमभिवंद्य,देव+देवम्+अभिवंद्य
तावच्चिकीर्षितग्रन्थस्य,तावत्+चिकीर्षित+ग्रन्थस्य
भवत्यस्मादिति,भवति+अस्मात्+इति
जगतस्त्रैलोक्यस्य,जगत:+त्रैलोक्यस्य
देवेन्द्रादीनामपि,देवेन्द्र+आदीनाम्+अपि
जगत्पतित्वमस्तीति,जगत्+पत्तित्वम्+अस्ति+इति
तद्व्यवच्छेदायाह,तत्+वि+अव+छेदाय+आह
परमिति,परम्+इति
उत्कृष्टमित्यर्थः,उत्कृष्टम्+इति+अर्थः
अनन्यप्रेष्यमिति,अनन्य+प्रेष्यम्+इति
वेदेभ्योऽखिलम्,वेदेभ्यः+अखिलम्
तमहम्,तम्+अहम्
सकृन्नत्वापि,सकृत्+नत्वा+अपि
विघ्नराजमहम्,विघ्न+राजम्+अहम्
निर्दिशंश्चिकीर्षितम्,निर्दिशन्+चिकीर्षितम्
बालोऽपि,बालः+अपि
प्रवेशमल्पेन,प्रवेशम्+अल्पेन
वाञ्छत्यलसः,वाञ्छति+अलसः
मयैषा,मया+एषा
एषेति,एषा+इति
नान्यत्रेत्यत्र,न+अन्यत्र+इति+अत्र
उभयोरपि,उभयोः+अपि
तत्प्रतिपाद्यत्वमेव,तत्+प्रतिपाद्यत्वम्+एव
एवार्थाभ्युपगमेऽभ्युपगम्यमाने,एव+अर्थ+अभि+उपगमे+अभि+उपगम्यमाने
चार्थे,च+अर्थे
विनिगमकाभावादुभयोरपि,विनिगमक+अभावात्+उदुभयोः+अपि
सिद्धान्तत्वमेवेत्यभिप्रेत्य,सिद्धान्तत्वम्+एव+इति+अभिप्रेत्य
वार्थः,वा+अर्थः
विकल्पतस्तल्लक्षणमुक्तम्,विकल्पतः+तत्+लक्षणम्+उक्तम्
द्वितीयादिकमित्यभिप्रायेण,द्वितीय+आदिकम्+इति+अभि+प्रायेण
हेतुवदाभासमाना,हेतुवत्+आभा+समाना
तल्लक्षणमाह,तत्+लक्षणम्+आह
अनुमितीति,अनुमिति+इति
सत्यनुमित्यभावनियमस्तादृशं,सति+अनुमित्य+भाव+नियमः+तादृशं
व्याप्तिज्ञानेनैवान्यथासिद्धतया,व्याप्ति+ज्ञानेन+एव+अन्यथा+सिद्धतया
तदसंग्रहापत्तेः,तत्+असंग्रह+आपत्तेः
उपाधिज्ञानस्यापि,उपाधि+ज्ञानस्य+अपि
तत्रातिव्याप्त्यापत्तेः,तत्र+अति+व्याप्ति+आपत्तेः
यथोक्ते,यथा+उक्ते
उपाधिज्ञानेऽपि,उपाधि+ज्ञाने+अपि
व्युत्पत्तिवादपदार्थश्चोक्तव्यापारः,व्युत्पत्ति+वाद+पद+अर्थः+च+उक्त+व्यापारः
तादृशव्यापारश्च,तादृश+व्यापारः+च
अभेदश्च,अभेदः+च
ग्रन्थेनैव,ग्रन्थेन+एव
तदुपयोगितयैव,तत्+उपयोगितया+एव
क्वचिदभेदः,क्वचित्+अभेदः
क्वचिच्च,क्वचित्+च
एवेत्यादि,एव+इत्यादि
संबन्धद्वैविध्यमपि,संबन्ध+द्वैविध्यम्+अपि
वक्तुमुचितम्,वक्तुम्+उचितम्
वोऽसुरवधूहृदयावसादः,वः+असुर+वधू+हृदय+अवसादः
प्रोद्यतस्त्रिभुवनक्रमणे,प्र+उद्यतः+त्रिभुवन+क्रमणे
इवाम्बरसागरस्य,इव+अम्बर+सागरस्य
एवमार्यमिश्रान्विज्ञापयामि,एवम्+अर्य+मिश्रान्+विज्ञापयामि
भोस्तात,भोः+तात
खल्वेषः,खलु+एषः
शब्दोच्चारणादस्य,शब्द+उच्चारणात्+अस्य
केनचित्पापचेतसा,केनचित्+पाप+चेतसा
पुनर्नेपथ्ये,पुनः+नेपथ्ये
परिवृतस्तरुणैः,परिवृतः+तरुणैः
ख्यातिरासीत्,ख्यातिः+आसीत्
अभवत्तदा,अभवत्+तदा
श्रोतुमिच्छामि,श्रोतुम्+इच्छामि
एतावत्पर्यन्तम्,एतावत्+पर्यन्तम्
शिशुरपि,शिशु:+अपि
